ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Latitude,Longitude
11674656,5/3/2019 8:58,016XX N HALSTED ST,BATTERY,SIDEWALK,FALSE,FALSE,1813,18,2,7,1170717,1910915,2019,41.91103312,-87.64827582
11674657,5/3/2019 10:40,010XX W 14TH ST,BATTERY,CHA APARTMENT,FALSE,TRUE,1232,12,25,28,1169676,1893569,2019,41.86345726,-87.65260557
11674659,5/3/2019 9:45,0000X N MICHIGAN AVE,THEFT,OTHER,FALSE,FALSE,112,1,42,32,1177307,1900569,2019,41.88249622,-87.62438077
11674661,4/29/2019 13:00,066XX N ASHLAND AVE,BATTERY,RESIDENCE,TRUE,FALSE,2432,24,49,1,1164409,1944119,2019,42.00228231,-87.67050566
11674663,5/2/2019 4:45,105XX S EDBROOKE AVE,BATTERY,RESIDENCE,FALSE,FALSE,512,5,9,49,1179135,1835150,2019,41.70293871,-87.61966257
11674665,4/30/2019 20:00,017XX W DIVISION ST,THEFT,RESTAURANT,FALSE,FALSE,1424,14,1,24,1164407,1908040,2019,41.90327987,-87.67153797
11674666,5/3/2019 10:30,025XX S CHRISTIANA AVE,THEFT,RESTAURANT,FALSE,FALSE,1024,10,12,30,1154434,1887028,2019,41.84582602,-87.70873264
11674668,5/3/2019 8:35,004XX E 79TH ST,THEFT,STREET,TRUE,FALSE,624,6,6,69,1180710,1852731,2019,41.75114716,-87.61335688
11674673,5/3/2019 11:20,067XX N CLARK ST,THEFT,TAVERN/LIQUOR STORE,FALSE,FALSE,2432,24,49,1,1163845,1944655,2019,42.00376507,-87.67256533
11674677,4/30/2019 16:00,081XX S WOLCOTT AVE,THEFT,RESIDENCE,FALSE,FALSE,614,6,17,71,1165105,1850621,2019,41.74570113,-87.67060099
11674680,5/3/2019 10:51,027XX E 83RD ST,BATTERY,SIDEWALK,TRUE,FALSE,423,4,7,46,1196033,1850470,2019,41.74457723,-87.55728145
11674683,5/2/2019 15:00,016XX N PULASKI RD,BATTERY,ALLEY,FALSE,FALSE,2534,25,26,23,1149469,1910503,2019,41.91034171,-87.72634464
11674685,4/29/2019 14:30,005XX S DENVIR AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1135,11,28,28,1159546,1897554,2019,41.87460688,-87.68968236
11674689,4/25/2019 12:30,023XX W HARRISON ST,THEFT,STREET,FALSE,FALSE,1225,12,28,28,1160941,1897312,2019,41.87391399,-87.68456724
11674697,5/1/2019 15:00,036XX N MILWAUKEE AVE,BATTERY,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,1731,17,45,16,1146726,1923676,2019,41.94654248,-87.73608438
