YEAR,MONTH,PROVINCE,DISTRICT,TYPE OF LOCALITY,LATITUDE,LONGITUDE,SEX,AGE,CENSUS,CASES,DEATHS
2011,NOV,MIDLANDS,KWEKWE,RESETTLEMENT,-18.37816784,28.98951802,ALL,ADULT,570,6,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.0774999,29.60849015,all,ALL,25,5,2
2011,NOV,MIDLANDS,KWEKWE,COMMERCIAL,-19.72962776,29.29381783,ALL,ADULT,363,4,0
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-18.70143519,31.85534762,MALE,ADULT,1239,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.70143519,31.85534762,MALE,ADULT,998,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-19.97689303,29.01357773,MALE,ADULT,1853,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-32.67694051,23.70513797,ALL,ALL,2400,2,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.0211777,31.49812391,ALL,ALL,1479,16,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.0211777,31.49812391,MALE,ADULT,1100,2,0
2011,MAY,MIDLANDS,GWERU,RESETTLEMENT,-21.84312049,29.27763329,ALL,ALL,1375,66,6
2006,FEB,MASHONALAND WEST,HURUNGWE,COMMUNAL,-18.30781264,31.2042946,MALE,ADULT,21,5,0
2008,JUN,MASHONALAND EAST,MARONDERA,COMMERCIAL,-17.89114209,30.32732324,FEMALE,ADULT,96,,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-19.15584791,30.35327418,ALL,ADULT,1104,7,0
2011,JUL,MASHONALAND CENTRAL,RUSHINGA,COMMUNAL,-17.89114209,30.32732324,ALL,ADULT,1565,18,0
2011,FEB,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-20.02952023,29.14716797,MALE,ADULT,2568,1,0
2007,JAN,MATABELELAND SOUTH,UMZINGWANE,COMMERCIAL,-17.77828024,29.98296488,all,ALL,60,31,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-16.93112859,29.12948876,ALL,ADULT,1810,6,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.92150657,30.38546237,FEMALE,ADULT,2060,6,0
2011,NOV,MIDLANDS,KWEKWE,COMMERCIAL,-20.29410822,29.61592691,ALL,ALL,1000,12,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-32.67694051,23.70513797,MALE,ADULT,16,2,0
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-18.91292782,29.58223892,MALE,ADULT,754,1,0
2011,MAY,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.81048523,28.83509444,FEMALE,ADULT,16,1,0
2011,FEB,MASHONALAND CENTRAL,BINDURA,RESETTLEMENT,-17.02790875,31.61427955,MALE,ADULT,487,10,0
2011,FEB,MASHONALAND CENTRAL,BINDURA,RESETTLEMENT,-18.32968218,29.28501083,ALL,ADULT,1845,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-17.89114209,30.32732324,ALL,ADULT,1066,1,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-19.40458858,29.28447303,ALL,ADULT,122,14,5
2011,JAN,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.98062111,30.26747357,FEMALE,ADULT,6,1,0
2011,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-16.85106925,29.00475798,ALL,ADULT,6,2,1
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-17.78762392,30.50795401,ALL,ALL,1500,24,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-21.62954627,29.03470694,ALL,ADULT,1766,8,0
2011,FEB,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-21.26663868,29.16648281,FEMALE,ADULT,9,1,0
2011,JAN,MASHONALAND CENTRAL,GURUVE,RESETTLEMENT,-18.17696752,31.80685642,MALE,ADULT,1288,1,
2011,MAR,MIDLANDS,KWEKWE,COMMUNAL,-17.65252888,31.76698225,ALL,ALL,2397,4,0
2007,JAN,MATABELELAND SOUTH,BEITBRIDGE,COMMUNAL,-18.66339744,29.32641749,all,ALL,32,4,0
2011,FEB,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-17.02790875,31.61427955,ALL,ADULT,8,2,
2011,MAR,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-18.86086992,29.42399373,ALL,ADULT,1353,2,0
2011,MAR,MIDLANDS,KWEKWE,COMMUNAL,-21.24761788,28.40411108,ALL,ALL,2157,12,0
2011,FEB,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-18.86086992,29.42399373,ALL,ADULT,8,2,0
2007,FEB,MASHONALAND EAST,MARONDERA,RESETTLEMENT,-20.02843249,29.86174662,ALL,ALL,500,6,0
2011,MAY,MIDLANDS,KWEKWE,COMMUNAL,-18.32968218,29.28501083,MALE,ADULT,1865,3,1
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-16.93112859,29.12948876,ALL,ADULT,1767,1,0
2011,FEB,MIDLANDS,SHURUGWI,RESETTLEMENT,-18.92150657,30.38546237,ALL,ALL,125,10,0
2011,FEB,MASHONALAND CENTRAL,GURUVE,RESETTLEMENT,-20.29410822,29.61592691,FEMALE,ADULT,329,1,0
2011,MAR,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-19.97687132,29.01548817,MALE,ADULT,1553,1,0
2008,FEB,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-19.81852528,29.40189884,ALL,ADULT,13,1,0
2011,APR,MIDLANDS,KWEKWE,COMMERCIAL,-18.5851194,29.06769132,ALL,ADULT,22,2,0
2005,JAN,MASHONALAND WEST,CHEGUTU,COMMERCIAL,-19.76622239,29.25713626,ALL,ADULT,20,2,0
2007,JAN,MIDLANDS,MVUMA,COMMUNAL,-16.96220433,31.29270417,ALL,ADULT,678,32,15
2008,FEB,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-20.16655719,29.01605845,FEMALE,ADULT,53,3,0
2011,FEB,MASHONALAND CENTRAL,GURUVE,COMMUNAL,-21.41570186,29.48785117,ALL,ADULT,,5,0
2005,JUL,MASHONALAND WEST,HURUNGWE,COMMUNAL,-16.93112859,29.12948876,MALE,ADULT,11,3,0
2007,JAN,MIDLANDS,MVUMA,RESETTLEMENT,-18.92150657,30.38546237,MALE,ADULT,634,3,1
2011,APR,MIDLANDS,KWEKWE,RESETTLEMENT,-17.61037179,30.26936646,FEMALE,ADULT,618,1,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.29410822,29.61592691,FEMALE,ALL,15,1,0
2009,MAR,MATEBELELAND NORTH,TSHOLOTSHO,COMMUNAL,,,FEMALE,ADULT,2160,1,0
2008,FEB,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-17.89114209,30.32732324,MALE,ADULT,147,1,0
2009,MAR,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-20.43503235,28.33908951,ALL,ADULT,15,3,0
2007,JAN,MIDLANDS,GOKWE,COMMUNAL,-18.38918627,31.21011559,MALE,ADULT,4,1,0
2011,JUN,MIDLANDS,KWEKWE,COMMERCIAL,-19.26449129,30.37245224,ALL,ADULT,67,7,0
2011,JUN,MIDLANDS,KWEKWE,COMMUNAL,-18.10190378,29.44359511,ALL,ALL,2528,21,0
2007,JAN,MIDLANDS,GWERU,COMMUNAL,-19.23843673,30.62323703,FEMALE,ADULT,14,2,0
2007,JAN,MASHONALAND EAST,MARONDERA,COMMUNAL,-18.30291692,31.71800492,MALE,ADULT,502,,0
2007,JAN,MIDLANDS,KWEKWE,COMMUNAL,-19.40458858,29.28447303,FEMALE,ADULT,13,1,0
2011,APR,MIDLANDS,KWEKWE,RESETTLEMENT,-19.23628145,29.70426162,ALL,ADULT,8,4,1
2009,MAR,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-17.98062111,30.26747357,MALE,ADULT,7,2,0
2007,JAN,MATABELELAND SOUTH,UMZINGWANE,COMMUNAL,-19.77011603,30.36712565,MALE,JUVENILE,9,1,0
2009,MAR,MATEBELELAND NORTH,BULAWAYO,COMMERCIAL,-21.79670309,30.63233635,ALL,ALL,300,15,0
2007,JAN,MIDLANDS,MVUMA,COMMERCIAL,-20.63811348,29.55744446,ALL,ADULT,39,7,0
2004,OCT,MASHONALAND WEST,KARIBA,COMMUNAL,-18.87029311,29.39379939,ALL,ADULT,1262,12,0
2004,JAN,MASHONALAND WEST,ZVIMBA,COMMUNAL,-18.91106611,29.00144933,MALE,JUVENILE,28,1,0
2008,FEB,MASHONALAND WEST,MAKONDE,RESETTLEMENT,-19.23847436,30.62133793,FEMALE,ADULT,24,2,0
2011,OCT,MIDLANDS,KWEKWE,RESETTLEMENT,-21.06679789,28.42069226,ALL,ADULT,38,2,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-19.72307107,29.09152901,ALL,ALL,862,21,0
2009,MAR,MATEBELELAND NORTH,BULAWAYO,COMMERCIAL,-20.16058857,28.72800779,MALE,ALL,5,1,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-18.58961182,29.4466568,MALE,ADULT,1778,4,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-19.02850278,29.00195911,ALL,ALL,2529,13,0
2007,JAN,MASHONALAND EAST,MUREHWA,COMMUNAL,-17.65252888,31.76698225,MALE,ADULT,10,,0
2007,JAN,MASHONALAND EAST,MUREHWA,COMMUNAL,-17.2458932,31.78003997,FEMALE,ADULT,14,,0
2008,FEB,MASHONALAND WEST,CHEGUTU,COMMERCIAL,-18.70295293,30.25893284,ALL,ADULT,45,8,0
2011,NOV,MIDLANDS,KWEKWE,COMMUNAL,-20.78003736,29.07781838,ALL,ALL,3062,7,0
2007,JAN,MATABELELAND SOUTH,GWANDA,COMMUNAL,-21.26663868,29.16648281,all,ADULT,40,6,1
2011,FEB,MIDLANDS,KWEKWE,RESETTLEMENT,-18.50664145,29.57324831,ALL,ALL,627,8,0
2011,NOV,MIDLANDS,KWEKWE,RESETTLEMENT,-18.46939987,29.65406824,ALL,ADULT,775,7,0
2009,MAR,MATEBELELAND NORTH,UMGUZA,COMMERCIAL,-20.12272387,29.60350411,ALL,ADULT,7,4,3
2009,MAR,MATEBELELAND NORTH,LUPANE,COMMERCIAL,#REF!,#REF!,MALE,ADULT,13,1,0
2008,JUN,MASHONALAND EAST,MUREHWA,COMMUNAL,-17.51585885,31.60117145,MALE,ADULT,13,,1
2008,APR,MASHONALAND WEST,MAKONDE,RESETTLEMENT,-20.12272387,29.60350411,MALE,ADULT,3,1,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.30373302,29.57584459,all,ALL,1541,12,0
2011,MAR,MIDLANDS,KWEKWE,RESETTLEMENT,-20.38822831,29.34747759,ALL,ADULT,400,8,0
2008,MAR,MASHONALAND EAST,HWEDZA,COMMERCIAL,#REF!,#REF!,FEMALE,ADULT,2,,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.7438337,29.08404391,all,ADULT,1541,12,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-17.54048241,31.28453211,ALL,ALL,1361,1,0
2008,APR,MASHONALAND EAST,HWEDZA,COMMERCIAL,#INVALID MGRS GRID REFERENCE,#INVALID MGRS GRID REFERENCE,MALE,ADULT,1,,0
2007,JAN,MIDLANDS,MBERENGWA,COMMUNAL,-18.43071824,28.07569292,ALL,ALL,1687,4,0
2009,MAR,MATEBELELAND NORTH,BULAWAYO,COMMERCIAL,-17.71778435,30.9293186,ALL,ADULT,236,6,0
2008,MAR,MASHONALAND EAST,HWEDZA,COMMERCIAL,-18.17696752,31.80685642,ALL,ADULT,23,,0
2008,DEC,MASHONALAND EAST,MARONDERA,COMMERCIAL,#INVALID MGRS GRID REFERENCE,#INVALID MGRS GRID REFERENCE,ALL,ALL,26,,0
2007,JAN,MIDLANDS,MBERENGWA,COMMUNAL,-18.66339744,29.32641749,FEMALE,ADULT,2147,1,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,#REF!,#REF!,all,ALL,1070,20,0
2007,JAN,MIDLANDS,MBERENGWA,RESETTLEMENT,-18.86086992,29.42399373,ALL,ADULT,16,2,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-21.24761788,28.40411108,ALL,ALL,1361,2,0
2008,FEB,MASHONALAND EAST,UMP,COMMUNAL,-18.86086992,29.42399373,FEMALE,ADULT,10,,0
2007,JAN,MIDLANDS,GOKWE,COMMUNAL,-20.02843249,29.86174662,MALE,ADULT,7,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-18.38280677,29.37275434,ALL,ALL,1361,4,1
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-17.61037179,30.26936646,FEMALE,ADULT,10,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-20.3211909,29.61638211,ALL,ALL,1361,6,2
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-17.45635765,32.32201489,MALE,ADULT,5,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-19.97687132,29.01548817,ALL,ALL,1484,1,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-19.81852528,29.40189884,FEMALE,ADULT,8,1,0
2011,APR,MIDLANDS,KWEKWE,COMMERCIAL,-19.76622239,29.25713626,ALL,ALL,24,1,0
2008,FEB,MASHONALAND EAST,UMP,COMMUNAL,-16.96220433,31.29270417,FEMALE,ADULT,5,,0
2008,MAR,MASHONALAND WEST,ZVIMBA,COMMERCIAL,-20.16655719,29.01605845,ALL,ADULT,1111,2,0
2011,APR,MIDLANDS,KWEKWE,COMMUNAL,-21.41570186,29.48785117,MALE,ADULT,2041,2,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-18.66339744,29.32641749,ALL,ALL,1587,6,3
2008,FEB,MASHONALAND EAST,UMP,COMMUNAL,-17.02816111,31.65181469,ALL,ADULT,17,,0
2008,MAR,MASHONALAND EAST,UMP,COMMUNAL,-21.24761788,28.40411108,MALE,ADULT,10,,0
2011,APR,MIDLANDS,KWEKWE,COMMUNAL,-21.24761788,28.40411108,MALE,ADULT,2537,1,0
2011,FEB,MIDLANDS,KWEKWE,COMMUNAL,-18.86086992,29.42399373,ALL,ALL,1484,1,0
2008,MAR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-20.97752483,28.28615253,FEMALE,ADULT,13,1,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-21.24761788,28.40411108,all,ALL,423,6,0
2008,MAR,MASHONALAND EAST,HWEDZA,COMMERCIAL,-17.47207916,31.81813031,MALE,ADULT,1,,0
2008,MAR,MASHONALAND WEST,CHEGUTU,RESETTLEMENT,-20.02843249,29.86174662,FEMALE,ADULT,48,1,1
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-19.29175226,29.61577208,all,ALL,3125,3,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-23.11357014,23.57421563,ALL,ADULT,17,5,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-19.00913318,31.92836658,all,ALL,1385,11,0
2011,MAR,MIDLANDS,KWEKWE,COMMUNAL,-18.86086992,29.42399373,ALL,ALL,1484,47,0
2011,JUN,MIDLANDS,KWEKWE,COMMERCIAL,-17.71458873,30.64573336,ALL,ALL,1245,2,0
2011,APR,MIDLANDS,KWEKWE,COMMERCIAL,-17.61037179,30.26936646,ALL,ALL,1581,1,0
2008,FEB,MASHONALAND EAST,UMP,COMMUNAL,-17.02816111,31.65181469,FEMALE,ADULT,13,,0
2007,JAN,MIDLANDS,MBERENGWA,RESETTLEMENT,-20.02843249,29.86174662,ALL,ADULT,16,4,0
2011,APR,MIDLANDS,KWEKWE,COMMUNAL,-18.19479358,29.23316824,ALL,ALL,1924,5,0
2007,JAN,MIDLANDS,GWERU,COMMUNAL,-17.61037179,30.26936646,MALE,ADULT,1196,1,0
2008,APR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-16.48774686,31.98628583,MALE,ADULT,10,1,1
2008,FEB,MASHONALAND WEST,ZVIMBA,COMMERCIAL,-20.3211909,29.61638211,ALL,ADULT,214,8,0
2011,AUG,MIDLANDS,KWEKWE,COMMERCIAL,-19.37001576,31.83177309,ALL,ADULT,8,2,0
2011,FEB,MIDLANDS,KWEKWE,RESETTLEMENT,-20.18485625,29.67526259,FEMALE,ADULT,18,1,0
2008,FEB,MASHONALAND EAST,HWEDZA,COMMERCIAL,-17.45635765,32.32201489,MALE,ADULT,21,,0
2000,JAN,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.38388889,26.76305556,MALE,ADULT,11,1,0
2008,APR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.90783995,32.19759419,MALE,ADULT,4,1,0
2008,APR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.61037179,30.26936646,ALL,ALL,11,9,0
2008,MAY,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.08162576,29.40637835,MALE,ADULT,9,2,0
2008,MAY,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.85285254,29.11285758,FEMALE,ADULT,9,1,0
2011,APR,MIDLANDS,KWEKWE,COMMERCIAL,-19.97687132,29.01548817,FEMALE,ADULT,34,1,0
2007,JAN,MATABELELAND SOUTH,INSIZA,COMMERCIAL,-20.22749914,29.83474934,all,ALL,102,35,2
2008,MAR,MASHONALAND EAST,UMP,COMMUNAL,-17.71778435,30.9293186,MALE,ADULT,4,,0
2007,JAN,MATABELELAND SOUTH,INSIZA,COMMERCIAL,-20.3211909,29.61638211,all,ALL,102,35,2
2008,APR,MASHONALAND EAST,HWEDZA,COMMERCIAL,-17.13643811,29.35448301,MALE,ADULT,1,,0
2007,JAN,MATABELELAND SOUTH,INSIZA,COMMERCIAL,-21.51114956,29.73550551,all,ADULT,0,2,0
2008,FEB,MASHONALAND EAST,MUTOKO,COMMUNAL,-17.45635765,32.32201489,MALE,ADULT,11,,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-17.78871778,31.86979707,all,ADULT,43,3,0
2008,MAR,MASHONALAND EAST,MUTOKO,RESETTLEMENT,-17.87006824,31.87117147,MALE,ADULT,23,,0
2011,SEP,MIDLANDS,KWEKWE,COMMERCIAL,-18.52865321,30.73509242,FEMALE,ADULT,25,1,0
2011,MAR,MIDLANDS,KWEKWE,RESETTLEMENT,-18.96352905,31.85830077,ALL,ADULT,1258,2,0
2011,NOV,MIDLANDS,KWEKWE,COMMERCIAL,-17.18479236,30.93627034,ALL,ALL,795,20,0
2011,SEP,MIDLANDS,KWEKWE,COMMERCIAL,-18.86086992,29.42399373,FEMALE,ADULT,15,1,0
2007,JAN,MIDLANDS,MVUMA,COMMUNAL,-18.19148383,30.49857807,ALL,ADULT,678,19,9
2007,JAN,MIDLANDS,MBERENGWA,RESETTLEMENT,-18.19148383,30.49857807,ALL,ADULT,16,5,0
2006,JAN,MASHONALAND WEST,HURUNGWE,COMMUNAL,-20.80886866,29.61122525,MALE,ADULT,4,1,0
2007,JAN,MIDLANDS,GOKWE,COMMERCIAL,-17.49193019,30.93095072,ALL,ADULT,8,2,0
2011,FEB,MIDLANDS,KWEKWE,COMMERCIAL,-20.60690041,29.20110369,ALL,ADULT,33,2,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-20.46320904,30.22519254,ALL,ADULT,10,2,0
2007,JAN,MIDLANDS,MBERENGWA,RESETTLEMENT,-20.3361156,29.1876702,FEMALE,ADULT,10,3,0
2008,MAR,MASHONALAND EAST,HARARE,COMMERCIAL,-17.12716476,30.62503237,ALL,ALL,60,,56
2008,MAY,MASHONALAND WEST,ZVIMBA,COMMUNAL,-20.3769357,28.77452677,FEMALE,ADULT,12,1,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-17.57326431,30.9328535,FEMALE,ADULT,13,3,0
2011,JAN,MIDLANDS,KWEKWE,RESETTLEMENT,-16.52257702,30.68591453,ALL,ADULT,21,4,0
2006,MAY,MASHONALAND WEST,HURUNGWE,COMMUNAL,-18.49499625,29.04767133,FEMALE,JUVENILE,6,1,0
2007,JAN,MATABELELAND SOUTH,GWANDA,RESETTLEMENT,-18.93220619,29.49337916,FEMALE,ADULT,115,2,0
2008,MAY,MASHONALAND WEST,ZVIMBA,COMMUNAL,-19.3999321,30.37123556,ALL,ALL,14,4,1
2008,MAR,MASHONALAND EAST,GOROMONZI,COMMUNAL,-16.98820152,29.65488508,ALL,ALL,13,,0
2008,MAR,MASHONALAND EAST,HARARE,COMMERCIAL,-19.3999321,30.37123556,ALL,ADULT,100,,0
2008,JAN,MASHONALAND WEST,CHEGUTU,COMMUNAL,-17.19591382,30.34315665,MALE,ADULT,6,1,0
2011,NOV,MIDLANDS,KWEKWE,RESETTLEMENT,-17.84513225,30.26579743,ALL,ADULT,450,2,0
2008,FEB,MASHONALAND EAST,HARARE,COMMERCIAL,-17.19502321,30.27646033,MALE,ADULT,54,,52
2008,FEB,MASHONALAND EAST,HARARE,COMMERCIAL,-21.67310841,29.76845162,MALE,ADULT,115,,0
2000,JAN,MIDLANDS,KWEKWE,COMMUNAL,-21.15668677,28.47354764,ALL,ALL,1800,4,1
2008,MAR,MASHONALAND WEST,CHEGUTU,COMMUNAL,-20.80760521,29.69287578,MALE,ADULT,27,1,0
2008,MAR,MASHONALAND WEST,CHEGUTU,COMMUNAL,-21.3383776,28.3529088,ALL,ADULT,18,3,0
2008,MAR,MASHONALAND WEST,CHEGUTU,COMMUNAL,-20.02843249,29.86174662,FEMALE,ADULT,20,1,0
2007,JAN,MATABELELAND SOUTH,GWANDA,RESETTLEMENT,-21.60794689,28.5205723,all,ADULT,32,6,0
2008,APR,MASHONALAND EAST,GOROMONZI,COMMERCIAL,-21.68902479,29.31957523,MALE,ADULT,12,,0
2008,APR,MASHONALAND WEST,ZVIMBA,RESETTLEMENT,-17.15611942,29.92212678,ALL,ADULT,8,4,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-18.05794453,24.00105973,all,ALL,93,12,0
2007,JAN,MIDLANDS,ZVISHAVANE,RESETTLEMENT,-16.93040918,29.91861885,ALL,ALL,30,3,0
2007,JAN,MATABELELAND SOUTH,INSIZA,COMMERCIAL,-18.68268326,28.25078542,all,ALL,62,20,0
2000,JAN,MASHONALAND CENTRAL,GURUVE,COMMUNAL,-20.79716921,29.78101557,ALL,ADULT,2172,2,0
2008,JUL,MASHONALAND EAST,HARARE,COMMERCIAL,-17.93539676,30.26254622,ALL,ALL,120,,0
2000,JAN,MASHONALAND CENTRAL,GURUVE,COMMUNAL,-18.5731757,29.96249761,ALL,ADULT,3035,3,0
2000,JAN,MIDLANDS,KWEKWE,COMMUNAL,-20.0774999,29.60849015,ALL,ALL,1931,3,0
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-20.79716921,29.78101557,ALL,ALL,370,2,0
2000,JAN,MIDLANDS,KWEKWE,COMMUNAL,-17.57666663,29.54945245,FEMALE,ADULT,13,1,0
2007,JAN,MIDLANDS,MVUMA,RESETTLEMENT,-20.0774999,29.60849015,FEMALE,ADULT,649,1,0
2006,MAR,MASHONALAND WEST,HURUNGWE,COMMUNAL,-18.45529311,30.64527415,FEMALE,ADULT,13,1,0
2007,JAN,MIDLANDS,MVUMA,RESETTLEMENT,-20.79716921,29.78101557,ALL,ADULT,649,10,1
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-17.57666663,29.54945245,FEMALE,ADULT,7,2,1
2011,MAY,MIDLANDS,KWEKWE,RESETTLEMENT,-21.84312049,29.27763329,ALL,ADULT,4,2,0
2011,MAY,MIDLANDS,KWEKWE,COMMERCIAL,-18.96837613,29.49014838,ALL,ADULT,18,4,0
2011,OCT,MIDLANDS,KWEKWE,RESETTLEMENT,-21.42769487,29.27974906,ALL,ALL,640,6,0
2008,JUN,MASHONALAND WEST,ZVIMBA,COMMUNAL,-18.48191005,29.39310268,MALE,ADULT,8,6,0
2008,JUN,MASHONALAND WEST,ZVIMBA,COMMUNAL,-29.92671077,29.48405821,FEMALE,ALL,12,9,0
2011,MAR,MIDLANDS,KWEKWE,RESETTLEMENT,-19.81852528,29.40189884,FEMALE,ADULT,9,1,0
2008,JUN,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.19502321,30.27646033,MALE,ALL,9,10,0
2011,APR,MIDLANDS,KWEKWE,COMMUNAL,-21.67310841,29.76845162,MALE,ADULT,8,1,0
2007,JAN,MATABELELAND SOUTH,BEITBRIDGE,COMMERCIAL,-21.15668677,28.47354764,FEMALE,ADULT,120,4,1
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-20.80760521,29.69287578,all,ALL,169,9,0
2007,JAN,MIDLANDS,MBERENGWA,COMMUNAL,-21.3383776,28.3529088,ALL,ADULT,469,16,1
2011,SEP,MIDLANDS,KWEKWE,RESETTLEMENT,-20.02843249,29.86174662,MALE,ADULT,112,1,0
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-21.60794689,28.5205723,all,ALL,1429,19,0
2007,JAN,MIDLANDS,MBERENGWA,RESETTLEMENT,-21.68902479,29.31957523,ALL,ADULT,76,4,0
2011,MAR,MIDLANDS,KWEKWE,COMMERCIAL,-17.15611942,29.92212678,ALL,ALL,78,12,0
2011,APR,MIDLANDS,KWEKWE,COMMERCIAL,-18.05794453,24.00105973,ALL,ALL,19,3,1
2007,JAN,MATABELELAND SOUTH,MATOBO,COMMUNAL,-16.93040918,29.91861885,FEMALE,ADULT,14,1,0
2007,JAN,MATABELELAND SOUTH,BEITBRIDGE,COMMUNAL,-18.68268326,28.25078542,MALE,ADULT,3,1,0
2006,JAN,MASHONALAND WEST,HURUNGWE,COMMUNAL,-20.79716921,29.78101557,MALE,ADULT,3,1,0
2008,MAR,MASHONALAND WEST,ZVIMBA,COMMERCIAL,-20.0774999,29.60849015,ALL,ADULT,1440,6,0
2006,NOV,MASHONALAND WEST,HURUNGWE,RESETTLEMENT,-17.93539676,30.26254622,MALE,ADULT,1000,1,
2000,JAN,MATEBELELAND NORTH,LUPANE,COMMUNAL,-18.5731757,29.96249761,FEMALE,ADULT,14,1,0
2007,JAN,MIDLANDS,MBERENGWA,COMMUNAL,-20.0774999,29.60849015,ALL,ADULT,12,1,0
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-20.79716921,29.78101557,all,ADULT,31,2,0
2008,APR,MASHONALAND WEST,ZVIMBA,COMMUNAL,-17.57666663,29.54945245,FEMALE,JUVENILE,13,1,0
2006,JUN,MASHONALAND WEST,KADOMA,COMMUNAL,-20.0774999,29.60849015,FEMALE,ADULT,5,3,1
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-18.45529311,30.64527415,MALE,JUVENILE,7,1,0
2007,JAN,MIDLANDS,MBERENGWA,COMMUNAL,-20.79716921,29.78101557,MALE,ADULT,13,1,0
2006,JUL,MASHONALAND WEST,KADOMA,COMMUNAL,-17.57666663,29.54945245,FEMALE,ADULT,20,2,
2007,JAN,MATABELELAND SOUTH,INSIZA,RESETTLEMENT,-21.84312049,29.27763329,MALE,ADULT,17,1,0
2011,APR,MIDLANDS,KWEKWE,COMMUNAL,-18.96837613,29.49014838,FEMALE,ADULT,1065,1,0
2008,JUN,MASHONALAND WEST,CHEGUTU,COMMUNAL,-21.42769487,29.27974906,ALL,ADULT,21,1,1
