YEAR,MONTH,PROVINCE,DISTRICT,TYPE OF LOCALITY,LATITUDE,LONGITUDE,SEX,AGE,CENSUS,CASES,DEATHS
2014,FEB,MIDLANDS,SHURUGWI,COMMUNAL,-19.25204,30.41081,ALL,ALL,1347,7,0
2014,FEB,MIDLANDS,SHURUGWI,COMMUNAL,-19.71311,30.33214,ALL,ALL,1228,15,0
2014,FEB,MIDLANDS,SHURUGWI,COMMUNAL,-19.7708,30.39185,ALL,ALL,1271,17,0
2014,FEB,MIDLANDS,SHURUGWI,COMMUNAL,-19.71271,30.38187,ALL,ALL,1241,9,0
2012,OCT,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.1502,30.65283,MALE,ADULT,1039,1,0
2012,FEB,MASHONALAND EAST,MUTOKO,COMMERCIAL,-16.35328029,32.25662717,MALE,ADULT,,1,0
2012,MAR,MASHONALAND EAST,UMP,COMMUNAL,-17.49934269,31.84340205,MALE,ADULT,8,1,0
2012,DEC,MIDLANDS,CHIRUMANZU,COMMUNAL,-18.99303,30.5852,FEMALE,JUVENILE,806,1,0
2012,JUL,MIDLANDS,CHIRUMANZU,COMMUNAL,-18.926,30.6054,ALL,ALL,270,3,0
2012,FEB,MASHONALAND WEST,CHEGUTU,RESETTLEMENT,-18.0416666,30.25,MALE,ADULT,123,1,0
2012,SEP,MIDLANDS,CHIRUMANZU,COMMUNAL,-18.92634,30.6054,ALL,ADULT,320,2,0
2012,MAR,MASHONALAND CENTRAL,RUSHINGA,COMMUNAL,-16.65299,32.6445,ALL,ALL,3,1,0
2012,OCT,MIDLANDS,CHIRUMANZU,COMMUNAL,-18.9263,30.6054,FEMALE,ALL,322,2,0
2012,MAR,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.35898,30.18622,FEMALE,ADULT,787,1,0
2012,MAR,MASHONALAND CENTRAL,MT DARWIN,COMMUNAL,-16.20587,31.67079,MALE,ADULT,1,1,0
2012,MAR,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.98515867,28.06000508,ALL,ALL,,4,0
2012,APR,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.98515867,28.06000508,ALL,ALL,153,3,0
2012,APR,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.98515867,28.06000508,ALL,ALL,,4,0
2012,APR,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.98515867,28.06000508,ALL,ALL,,7,0
2012,MAR,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-17.17049,31.54428,MALE,ADULT,,1,0
2012,FEB,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.35898,32.29587,FEMALE,ADULT,1615,1,0
2012,FEB,MASHONALAND EAST,UMP,COMMUNAL,-17.49934269,31.84340205,FEMALE,ADULT,9,1,0
2012,FEB,MIDLANDS,KWEKWE,COMMUNAL,-19.72307107,29.09152901,ALL,ALL,1727,20,0
2012,FEB,MASHONALAND WEST,KARIBA,COMMUNAL,-17.4058,28.61456,ALL,ALL,431,6,
2012,SEP,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.15877,30.31121,MALE,ADULT,700,1,0
2012,SEP,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.15877,30.31121,FEMALE,ADULT,700,1,0
2012,OCT,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.1588,30.31121,ALL,ADULT,700,1,0
2012,OCT,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.1588,30.31121,MALE,ADULT,700,1,0
2012,MAY,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.66446433,28.98440157,ALL,ADULT,1691,2,1
2012,MAY,MASHONALAND EAST,GOROMONZI,COMMUNAL,-16.35328029,32.25662717,ALL,ALL,,2,0
2012,JUN,MASHONALAND EAST,UMP,COMMUNAL,17.74414,31.98328,FEMALE,ADULT,,1,0
2012,OCT,MIDLANDS,CHIRUMANZU,COMMUNAL,-19.4795,30.26588,ALL,ADULT,867,2,0
2014,MAR,MASVINGO,CHIREDZI,COMMUNAL,-21.0466808,31.35243524,ALL,ALL,1693,10,1
2014,MAR,MASVINGO,CHIREDZI,COMMUNAL,-21.11943814,31.40361631,ALL,ALL,1895,6,0
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.38364,32.0858,ALL,ALL,1451,3,0
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.30029,32.05142,ALL,ALL,1650,4,2
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.30029,32.05142,ALL,ALL,1650,3,1
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.24323,32.00593,ALL,ALL,1231,5,1
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.38583,32.16218,FEMALE,ADULT,1040,1,1
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.97257734,31.17246512,FEMALE,ALL,1040,1,0
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.24323,32.00593,MALE,JUVENILE,1231,1,0
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.24323,32.00593,ALL,ALL,1231,5,1
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.32185,31.52496,ALL,ALL,2400,4,0
2014,FEB,MASVINGO,CHIREDZI,COMMUNAL,-20.38583,32.16218,ALL,ALL,1040,3,0
2012,APR,MIDLANDS,SHURUGWI,RESETTLEMENT,-16.1633841,24.12472956,FEMALE,ADULT,7,1,0
2014,MAR,MASVINGO,MWENEZI,COMMUNAL,-21.38021796,30.55527999,ALL,ALL,1745,4,0
2014,MAR,MASVINGO,MWENEZI,COMMUNAL,-21.6836196,30.95593546,ALL,ALL,1814,5,1
2014,MAR,MASVINGO,MWENEZI,COMMUNAL,-21.3707661,30.52649053,FEMALE,ALL,1857,2,1
2014,MAR,MASVINGO,MWENEZI,RESETTLEMENT,-21.3707661,30.52649053,FEMALE,ALL,1857,2,1
2014,MAR,MASVINGO,MWENEZI,COMMUNAL,-21.77285466,30.87056421,MALE,ALL,100,1,0
2012,NOV,MASHONALAND EAST,MARONDERA,COMMUNAL,-18.6785,31.73136,MALE,JUVENILE,,2,0
2012,JAN,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.33621,28.4707,MALE,ADULT,6671,1,0
2012,FEB,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.29122991,28.19585557,MALE,ADULT,1020,1,0
2012,FEB,MIDLANDS,GWERU,COMMUNAL,-19.26453009,29.62484803,ALL,ALL,1566,7,0
2012,JAN,MATEBELELAND NORTH,BINGA,COMMUNAL,-17.45695326,27.4718544,MALE,ADULT,8,1,0
2012,FEB,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.44202254,28.21168848,ALL,ALL,656,5,0
2012,MAR,MASHONALAND EAST,MARONDERA,COMMERCIAL,-18.49216495,31.64177703,FEMALE,ADULT,,3,0
2014,JAN,MATABELELAND SOUTH,INSIZA,COMMUNAL,-20.2722,29.6467,ALL,ALL,199,74,5
2014,JAN,MATABELELAND SOUTH,INSIZA,COMMUNAL,-21.0414,29.4994,ALL,ALL,103,24,1
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-20.2722,29.6467,ALL,ALL,186,28,13
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-21.0414,29.4994,ALL,ALL,108,13,1
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-20.2964,29.4711,ALL,ALL,34,6,1
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-19.916,29.3661,ALL,ADULT,48,1,1
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-20.728,29.7886,ALL,ALL,,115,4
2014,MAR,MATABELELAND SOUTH,INSIZA,COMMUNAL,-20.1292,29.4394,ALL,ALL,32,5,1
2012,MAR,MIDLANDS,GOKWE NORTH,RESETTLEMENT,-17.68911167,29.21458981,MALE,ADULT,26,3,0
2012,MAR,MASHONALAND EAST,MARONDERA,COMMUNAL,-18.67923651,31.3094614,FEMALE,ADULT,,1,0
2012,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.68911167,29.21458981,MALE,ADULT,15,1,0
2012,MAR,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-17.15101,31.62403,ALL,ALL,,6,0
2012,MAR,MIDLANDS,SHURUGWI,COMMUNAL,-19.03548024,29.18337787,ALL,ALL,88,10,1
2012,APR,MIDLANDS,GWERU,COMMUNAL,-19.22015196,30.6351837,MALE,ADULT,1357,1,0
2012,MAY,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.28322844,29.15418422,ALL,ADULT,2696,3,1
2012,APR,MIDLANDS,GWERU,COMMUNAL,-19.22015196,30.6351837,FEMALE,ADULT,1357,1,0
2012,APR,MASHONALAND WEST,CHEGUTU,RESETTLEMENT,-17.9841,30.52694,ALL,ALL,1430,15,5
2012,MAY,MASHONALAND WEST,CHEGUTU,RESETTLEMENT,-18.5181,30.02015,ALL,ALL,119,5,0
2012,APR,MASHONALAND CENTRAL,SHAMVA,RESETTLEMENT,-17.819156,31.49001,MALE,ADULT,1696,1,0
2012,MAY,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-17.15101,31.62403,ALL,ALL,,25,0
2012,APR,MATEBELELAND NORTH,BINGA,COMMUNAL,-18.01722,27.12417,ALL,ALL,,7,0
2012,MAY,MATEBELELAND NORTH,BINGA,COMMUNAL,-18.01722,27.12417,ALL,ALL,,9,0
2012,MAY,MATEBELELAND NORTH,BINGA,COMMUNAL,-18.01722,27.12417,ALL,ALL,,15,0
2012,MAY,MIDLANDS,ZVISHAVANE,RESETTLEMENT,-20.37263,29.85969,FEMALE,ADULT,16,2,0
2012,MAY,MIDLANDS,ZVISHAVANE,RESETTLEMENT,-20.37263,29.85969,ALL,ADULT,1445,1,0
2012,MAR,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.28730123,28.73388248,FEMALE,ADULT,2029,2,0
2012,OCT,MASHONALAND EAST,GOROMONZI,COMMERCIAL,-18.0271,31.4802,MALE,ADULT,,3,0
2012,APR,MATEBELELAND NORTH,UMGUZA,COMMUNAL,-19.53244464,28.20283131,ALL,ALL,,2,0
2012,NOV,MATEBELELAND NORTH,BUBI,RESETTLEMENT,#REF!,#REF!,MALE,ADULT,,2,0
2012,FEB,MASHONALAND CENTRAL,SHAMVA,COMMUNAL,-17.25757,31.57954,FEMALE,ADULT,6,1,0
2012,APR,MIDLANDS,CHIRUMANZU,RESETTLEMENT,-19.2916999,30.38057697,ALL,ALL,32,6,0
2012,APR,MIDLANDS,CHIRUMANZU,RESETTLEMENT,-19.2916999,30.38057697,FEMALE,ADULT,35,1,0
2012,APR,MATABELELAND SOUTH,UMZINGWANE,COMMUNAL,-20.75306,29.1481,ALL,ALL,1162,4,4
2012,APR,MIDLANDS,GWERU,COMMUNAL,-19.27338061,29.63735036,ALL,ALL,390,3,0
2012,APR,MATEBELELAND NORTH,BUBI,COMMUNAL,-19.34433946,29.03329208,FEMALE,ADULT,1500,1,0
2012,MAY,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.46332959,29.20809685,ALL,ALL,1191,6,0
2012,MAY,MATEBELELAND NORTH,BUBI,COMMUNAL,-19.79575625,29.05518526,FEMALE,ADULT,700,1,0
2012,MAR,MIDLANDS,GWERU,COMMUNAL,-19.81518317,29.63853873,FEMALE,ADULT,416,1,0
2012,MAY,MIDLANDS,GWERU,COMMUNAL,-19.81518317,29.63853873,FEMALE,ADULT,43,2,0
2012,MAY,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.27102452,27.12307216,FEMALE,ADULT,,1,0
2012,MAY,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.27102452,27.12307216,FEMALE,ADULT,,1,0
2012,MAY,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.27102452,27.12307216,FEMALE,ADULT,,2,0
2012,MAR,MASHONALAND EAST,UMP,COMMUNAL,-17.49934269,31.84340205,MALE,ADULT,,1,0
2012,JUN,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.04717,26.242,ALL,ADULT,,54,0
2012,NOV,MATEBELELAND NORTH,HWANGE,COMMUNAL,-18.0887995,26.24396883,MALE,ADULT,,43,0
2012,APR,MASHONALAND EAST,MUDZI,COMMUNAL,-32.04505393,23.67392346,MALE,ADULT,17,2,0
2012,FEB,MASHONALAND WEST,CHEGUTU,RESETTLEMENT,-17.9841,30.52694,ALL,ALL,5,0,0
2012,APR,MIDLANDS,GOKWE NORTH,COMMUNAL,-17.36648,28.33534,FEMALE,ADULT,5,1,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.30445,29.09079,FEMALE,ADULT,2490,1,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.34267,29.12043,MALE,ADULT,1672,3,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.52949125,29.19390185,ALL,ADULT,1880,3,0
2012,SEP,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.37923,28.920565,ALL,ADULT,1878,4,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-17.54088421,28.66842613,ALL,ADULT,2780,2,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.1744535,28.54579432,MALE,ADULT,1590,2,0
2014,FEB,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.36798,28.68046,MALE,ADULT,2684,1,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.35856736,28.04870822,ALL,ALL,1379,2,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.16996,28.85104,ALL,ALL,1594,1,0
2012,OCT,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.16996,28.85104,ALL,ALL,3510,2,0
2012,DEC,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.4521,28.0673,FEMALE,ADULT,7,1,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.5604,28.78451,FEMALE,ADULT,2361,2,0
2012,JUL,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.5354141,28.60489513,MALE,ADULT,1593,1,0
2012,SEP,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.56031,28.78744,MALE,ADULT,1597,1,0
2012,SEP,MIDLANDS,GOKWE SOUTH,COMMUNAL,-18.56031,28.78744,FEMALE,ADULT,1597,2,0
